Annee;HC;HP;HF;Valeur
2023;HC_513;TOTAL;HF_121;2311
2023;HC_513;TOTAL;HF_122;116
2023;HC_513;TOTAL;HF_32;88
2024;HC_131;TOTAL;HF_11;60
2024;HC_131;TOTAL;HF_21;1007
2024;HC_131;TOTAL;HF_31;51
2024;HC_131;TOTAL;HF_32;1970
2024;HC_132;TOTAL;HF_122;4342
2024;HC_133;TOTAL;HF_11;172
2024;HC_133;TOTAL;HF_31;27
2024;HC_511;TOTAL;HF_121;39394
2024;HC_511;TOTAL;HF_31;240
2024;HC_511;TOTAL;HF_32;1410
2024;HC_512;TOTAL;HF_121;0
2024;HC_512;TOTAL;HF_21;32
2024;HC_513;TOTAL;HF_121;2395
2024;HC_513;TOTAL;HF_122;131
2024;HC_513;TOTAL;HF_21;238
2024;HC_513;TOTAL;HF_31;372
2021;HC_131;TOTAL;HF_2;904
2021;HC_132;TOTAL;HF_3;2130
2021;HC_133;TOTAL;HF_2;1259
2021;HC_512;TOTAL;HF_3;2291
2021;HC_513;TOTAL;HF_3;740
2022;HC_131;TOTAL;HF_2;934
2022;HC_133;TOTAL;HF_2;1263
2022;HC_511;TOTAL;HF_1;36806
2022;HC_511;TOTAL;HF_2;1760
2022;HC_513;TOTAL;HF_1;2457
2022;HC_513;TOTAL;HF_2;199
2023;HC_131;TOTAL;HF_1;14260
2023;HC_133;TOTAL;HF_3;1587
2023;HC_511;TOTAL;HF_2;1867
2023;HC_513;TOTAL;HF_2;225
2024;HC_131;TOTAL;HF_1;14511
2024;HC_131;TOTAL;HF_2;1007
2024;HC_131;TOTAL;HF_3;2022
2024;HC_132;TOTAL;HF_3;2263
2024;HC_133;TOTAL;HF_1;24087
2024;HC_133;TOTAL;HF_2;1458
2024;HC_511;TOTAL;HF_2;1909
2024;HC_512;TOTAL;HF_3;2702
2024;HC_513;TOTAL;HF_1;2543
2024;HC_513;TOTAL;HF_2;238
2021;HC_132;TOTAL;HF_12;9093
2021;HC_133;TOTAL;HF_12;19801
2021;HC_512;TOTAL;HF_12;27
2021;HC_513;TOTAL;HF_12;2418
2022;HC_132;TOTAL;HF_12;9295
2022;HC_513;TOTAL;HF_12;2442
2023;HC_511;TOTAL;HF_12;38126
2024;HC_131;TOTAL;HF_12;14451
2024;HC_133;TOTAL;HF_12;23916
2024;HC_511;TOTAL;HF_12;41179
