Annee;HC;HP;HF;Valeur
2024;HC_24;TOTAL;TOTAL;0
2024;HC_31;TOTAL;TOTAL;40077
2024;HC_32;TOTAL;TOTAL;107
2024;HC_41;TOTAL;TOTAL;4980
2024;HC_42;TOTAL;TOTAL;5919
2024;HC_43;TOTAL;TOTAL;6863
2024;HC_513;TOTAL;TOTAL;3243
2024;HC_61;TOTAL;TOTAL;1315
2024;HC_72;TOTAL;TOTAL;15734
2021;HC_11;TOTAL;HF_21;1308
2021;HC_12;TOTAL;HF_121;10173
2021;HC_12;TOTAL;HF_122;85
2021;HC_12;TOTAL;HF_21;158
2021;HC_14;TOTAL;HF_11;52
2021;HC_14;TOTAL;HF_122;217
2021;HC_14;TOTAL;HF_32;123
2021;HC_22;TOTAL;HF_121;942
2021;HC_22;TOTAL;HF_122;9
2021;HC_22;TOTAL;HF_21;17
2021;HC_22;TOTAL;HF_32;16
2021;HC_23;TOTAL;HF_11;19
2021;HC_23;TOTAL;HF_21;654
2021;HC_23;TOTAL;HF_31;2093
2021;HC_24;TOTAL;HF_121;0
2021;HC_24;TOTAL;HF_32;0
2021;HC_31;TOTAL;HF_121;22512
2021;HC_31;TOTAL;HF_32;12616
2021;HC_41;TOTAL;HF_32;332
2021;HC_42;TOTAL;HF_32;340
2021;HC_52;TOTAL;HF_121;9121
2021;HC_52;TOTAL;HF_31;373
2021;HC_61;TOTAL;HF_32;0
2021;HC_62;TOTAL;HF_121;4066
2021;HC_62;TOTAL;HF_122;72
2021;HC_63;TOTAL;HF_32;177
2021;HC_64;TOTAL;HF_11;900
2021;HC_64;TOTAL;HF_121;1220
2021;HC_64;TOTAL;HF_122;0
2021;HC_64;TOTAL;HF_23;2162
2021;HC_64;TOTAL;HF_32;22
2021;HC_65;TOTAL;HF_121;218
2021;HC_65;TOTAL;HF_122;0
2021;HC_65;TOTAL;HF_21;0
2021;HC_66;TOTAL;HF_11;228
2021;HC_71;TOTAL;HF_11;1126
2022;HC_12;TOTAL;HF_21;151
2022;HC_12;TOTAL;HF_32;126
2022;HC_14;TOTAL;HF_121;11197
2022;HC_14;TOTAL;HF_32;127
2022;HC_21;TOTAL;HF_32;137
2022;HC_22;TOTAL;HF_21;19
2022;HC_23;TOTAL;HF_11;21
2022;HC_23;TOTAL;HF_121;5860
2022;HC_31;TOTAL;HF_11;774
2022;HC_31;TOTAL;HF_32;12994
2022;HC_33;TOTAL;HF_121;1536
2022;HC_34;TOTAL;HF_11;4100
2022;HC_41;TOTAL;HF_11;28
2022;HC_41;TOTAL;HF_121;3561
2022;HC_41;TOTAL;HF_122;572
2022;HC_41;TOTAL;HF_21;477
